Spindle Nose to Table,X Axis Travel,Max Thrust X,Bearing Lubrication,year:,Y Axis Travel,brand:,seller:,Z Axis Travel,location:,Max Tool Diameter,Spindle Taper,title,Rapid Rate X Axis,Table Size,C AXIS,Rapid Rate Y Axis,Max Tool Weight,Weight,Max Torque,Max Thrust Y,Spindle Speed,buy now:,Max Table Load,C Axis Travel,Cooling,Platter Diameter,Max Thrust Z,url,category:,payment:,description,Tool Changer,Spindle Motor,id:,Rapid Rate Z Axis,Max Cutting,Drive System,seller needs:,B AXIS,B Axis Travel,options:,model:,Max Pallet Load,Dimensions
,"45""",,,2024,"25""",FADAL,MiguC746,"24""",CA,,40,FADAL VMC4525 CNC Mill,900 IPM,"53"" x 25""",,900 IPM,,,,,"10,000 RPM",,,,,,,https://cncmachines.com/fadal-vmc4525-2024/l/12246,Vertical Machining Center,"$1,046/mo","This 2024 FADAL VMC4525 Vertical Machining Center is a newly rebuilt unit, featuring a Multi Processor CNC Control system. This advanced control interface ensures precise and smooth operations, accommodating a wide range of m...Read More",24 ATC,22.5 HP,12246,,,,"$43,000",,,"Multi Processor CNC Control
Rebuilt in 2024
",VMC4525,,"131"" x 102"" x 98"""
,"40""",,,2024,"20""",FADAL,MiguC746,"20""",CA,,40,FADAL VMC4020 CNC Mill,900 IPM,"47"" x 20""",,900 IPM,,"13,200 LBS",,,"10,000 RPM",,"3,500 LBS",,,,,https://cncmachines.com/fadal-vmc4020-2024/l/11557,Vertical Machining Center,$827/mo,Read More,20 ATC,15 HP,11557,900 IPM,,,"$34,000",,,"Completely Rebuilt 2024
30 Day Warranty on Parts
Rigid Tapping
USB Port
Locking Drawbar Spindle
Cool Power System
Multi Processor Control Pendant
Hi Torque
Pozi Drive Belt System
Front Door Interlocks
",VMC4020,,
,"20.079""",,,2024,"20.079""",TONGTAI,MarkP815,"20.079""",USA,,40 CT,TONGTAI SH4000P CNC Mill,"2,362 IPM",,,"2,362 IPM",,"8,500 LBS",,,"15,000 RPM",,,,,,,https://cncmachines.com/tongtai-sh4000p-2024/l/11063,Horizontal Machining Center,"$4,730/mo","This 2024 TONGTAI SH4000P is a gem, well designed for tasks that require precision and robust power. It's equipped with a host of features and specifications that set it apart from other machines in its class.

The CNC mill...Read More",60 ATC,29.5 HP,11063,"2,362 IPM",,,"$194,500",,,,SH4000P,,"199.21"" x 68.9"" x 107"""
,"22""",,,2023,"25""",HAAS,GeorM229,"22""",VA,,40 CT,HAAS EC400 CNC Mill,"1,400 IPM",,,"1,400 IPM",,"24,480 LBS",,,"12,000 RPM",,,,,,,https://cncmachines.com/haas-ec400-2023/l/12654,Horizontal Machining Center,"$4,244/mo","This 2023 HAAS EC400 Horizontal Machining Center is a top choice for those looking to upgrade their manufacturing capabilities. Equipped with a range of options and upgrades, it is designed to enhance productivity and precisi...Read More",50 ATC,30 HP,12654,"1,400 IPM",,,"$174,500",,,"Chip Conveyor
Probe
Coolant Thru Spindle
360,000 Full 4th
Haas LCD 15” Color Touch Screen Control
32 GB Memory
15,000 RPM Spindle
50+1 Sidemount Tool Changer
300 PSI Coolant Pump
High Speed Machining
Through Tool Air Blast
XL Remote Jog Handle with touchscreen
",EC400,1000 LBS,"201"" x 102"" x 115"""
"4.2"" - 29.2""","50""",,,2023,"20""",HAAS,ThomH779,"25""",IL,,40,HAAS VF4SS CNC Mill,"1,400 IPM","52"" x 18""",,"1,400 IPM",,"13,500 LBS",,,"12,000 RPM",,"1,750 LBS",,,,,https://cncmachines.com/haas-vf4ss-2023/l/12591,Vertical Machining Center,"$1,690/mo",Read More,24 ATC,30 HP,12591,"1,400 IPM",,,"$69,500",,,"Haas Next Gen CNC Control
Probe
High Intensity Lighting
Chip Auger
1411 Cutting Hours in Pics
",VF4SS,,
,"24""",,,2023,"16""",HAAS,RobU560,"16""",USA,,40,HAAS UMC500 CNC Mill,900 IPM,,,900 IPM,,"11,900 LBS",,,"15,000 RPM",,500 LBS,,,,,https://cncmachines.com/haas-umc500-2023/l/12581,Vertical Machining Center,"$2,784/mo",Read More,50 ATC,30 HP,12581,900 IPM,,,"$114,500",,,"Haas Next Gen CNC Control
Probe
Chip Conveyor
4th Axis Rotary Table
5 Axis
15k RPM Spindle
50 +1 ATC
Hennig Chip Conveyor
TSC Ready
High Speed Machining
95 Gallon Coolant Tank
32 GB Memory
",UMC500,,
,"18""",,,2023,"11""",TORMACH,AnthA640,"16""",GA,,30,TORMACH 1100MX CNC Mill,300 IPM,,,300 IPM,,1600,,,"10,000 RPM","$23,000",,,,,,https://cncmachines.com/tormach-1100mx-2023/l/12546,Vertical Machining Center,$559/mo,"This 2023 TORMACH 1100MX Vertical Machining Center is a versatile tool that can handle a variety of tasks. It is equipped with several options and upgrades that enhance its functionality and usability.

The machine includes a ...Read More",,2 HP,12546,300 IPM,,,,,,"Probe
Programmable Coolant
12-Pocket Automatic Tool Changer
Passive Probe Kit
Electronic Tool Setter
End Mill Kit for Aluminum
Flood Coolant Kit
PathPilot Operator Console
Oil Skimmer Kit
BT30 Operator's Kit
",1100MX,,69 X 57 X 96
,"15""",,Air / Oil Injection,2023,"14""",HAAS,MarkP815,"12""",USA,,40,HAAS UMC350HD CNC Mill,"2,400 IPM",,,"2,400 IPM",,,46.0 ft-lbf @ 1700 rpm,,"10,000 RPM",,100 LBS,360 Degrees,Air Cooled,9.10 in,,https://cncmachines.com/haas-umc350hd-2023/l/12440,Vertical Machining Center,"$2,186/mo","This 2023 HAAS UMC350HD is now available and comes equipped with impressive features. It includes options such as a Probe, Coolant Thru Spindle, Programmable Coolant, and 5 Axis capabilities.

The Haas UMC-350HD is a 5 Axis ma...Read More",18 ATC,15 HP,12440,"2,400 IPM",,Inline Direct-Drive,"$89,900",,+120/-45 Degrees,"Probe
Coolant Thru Spindle
Programmable Coolant
5 Axis
",UMC350HD,,"102"" x 91"" x 98.5"""
,"30""",2550 lbf,,2023,"20""",HAAS,KenH187,"20""",CA,"3.5""",40,HAAS VF2YT CNC Mill,710 IPM,,,710 IPM,12 lbs,,90 ft-lbf,2550 lbf,"10,000 RPM",,"3,500 LBS",,,,4200 lbf,https://cncmachines.com/haas-vf2yt-2023/l/12237,Vertical Machining Center,"$1,544/mo",Read More,30+1 ATC,30 HP,12237,710 IPM,650 ipm,,"$63,500",,,"Haas Next Gen CNC Control
Probe
Programmable Coolant
10k RPM Spindle
30+1 ATC
High Speed Machining
Rigid Taping
Chip Auger
",VF2YT,,
,"30""",,,2023,"20""",HAAS,BretM778,"20""",USA,,40,HAAS UMC750SS CNC Mill,"1,200 IPM",,ROTATION,"1,200 IPM",,"19,100 LBS",,,"12,000 RPM",,660 LBS,,,,,https://cncmachines.com/haas-umc750ss-2023/l/11597,Vertical Machining Center,"$5,605/mo","This 2023 HAAS UMC750SS is a high-precision machine used for shaping and cutting solid materials. Used only for light industrial work, it remains in good condition. The machinery boasts a five-axis table and 30+1 tool changer...Read More",40 ATC,30 HP,11597,"1,200 IPM",,,"$230,500",ROTATION,,"Probe
Chip Conveyor
5 Axis
",UMC750SS,,"160"" x 96"" x 110"""
